CRSH_NUM,CAL_YR,EVNT_CRSH_DT,EVNT_CRSH_TM,DAYOWEEK,MANDIST,CONTYDOT,RDWYID,LOCMP,LOCNODE,LOCDIST,LOCMEACD,LOCDIRCD,EVNT_ON_RD_NM,EVNT_INTCT_RD_NM,DISTINTS,MEAINTCD,DIRINTCD,ROUTEID,USRTNO,CONTYDMV,DHSCTYNO,EVNT_CTY_PLCE_NM,EVNT_CTY_LMT_CD,ACCISEV,TYP_DR_ACDNT_CD,FRST_HARM_EVNT_CD,IMPCT_TYP_CD,FRST_HARM_LOC_CD,JCT_CD,INTCHG_CD,ACCSIDRD,ACCLANE,DHSRDSYS,TYPESHLD,INTCT_TYP_CD,RD_SRFC_COND_CD,LGHT_COND_CD,EVNT_WTHR_COND_CD,SCHL_BUS_REL_CD,WRK_ZONE_REL_CD,LOC_WTHN_ZONE_CD,WRK_ZONE_TYP_CD,WRK_PRSNT_CD,LAW_ENFRC_PRSNT_CD,FRST_RD_COND_CD,SCND_RD_COND_CD,THRD_RD_COND_CD,FRST_ENVRN_COND_CD,SCND_ENVRN_COND_CD,THRD_ENVRN_COND_CD,V1_TRAF_CTRL_CD,V2_TRAF_CTRL_CD,ALCINVCD,FAHWYSYS,FUNCLASS,CRRATECD,RDACCESS,PLACECD,SURWIDTH,SHLDTYPE,SHLDTYP2,SHLDTYP3,SLDWIDTH,SHLDWTH2,SHLDWTH3,MEDWIDTH,HRZDGCRV,MAXSPEED,TYPEPARK,SECTADT,AVGTFACT,SKTRESNM,V1_MOST_HARM_EVNT_CD,V1_HARM_EVNT_SQ01_CD,V1_VHCL_BDY_TYP_CD,V1_VHCL_SPCL_FNC_CD,V1_CMRC_USE_CD,V1_CMRC_VEH_CNFIG_CD,V1_CARY_BDY_TYP_CD,V1_CMRC_VEH_WT_CD,V1_POINTIMP,V1_VHCL_MOVE_CD,V1_TRAVDIR,V1_FRST_DR_ACTN_CD,V1_AGE3,V1_SUSP_ALC_USE_CD,V1_SUSP_DRUG_USE_CD,V2_MOST_HARM_EVNT_CD,V2_HARM_EVNT_SQ01_CD,V2_VHCL_BDY_TYP_CD,V2_VHCL_SPCL_FNC_CD,V2_CMRC_USE_CD,V2_CMRC_VEH_CNFIG_CD,V2_CARY_BDY_TYP_CD,V2_CMRC_VEH_WT_CD,V2_POINTIMP,V2_VHCL_MOVE_CD,V2_TRAVDIR,V2_FRST_DR_ACTN_CD,V2_AGE3,V2_SUSP_ALC_USE_CD,V2_SUSP_DRUG_USE_CD,TOT_CRSH_DMG_AMT,TOT_VHCL_DMG_AMT,TOT_PROP_DMG_AMT,TOT_OF_PERS_NUM,TOT_OF_DR_NUM,TOT_OF_VHCL_NUM,TOT_OF_FATL_NUM,TOT_OF_INJR_NUM,TOTSEVREINJ_NUM,TOTNONTRAFFATL_NUM,TOT_OF_PEDST_NUM,TOTOF_PEDLCYCL_NUM,EVNT_LAT_NUM,EVNT_LONG_NUM,CAR_LAT_NUM,CAR_LONG_NUM,RUN.DATE,RUN.TIME,OPT,PROGRAM,Vehicle_code
732802520,2011,2/11/2011,1800,5,1,16,16030000,0,NA,0,  ,NA,"""HIGHWAY 640                                       ""","""HIGHWAY 555                                       """,5280,FT,W,        ,        ,5,0,"""UNINCORPORATED                  """,1,1,1,39,77,2,5,1,NA,NA,4,2,1,2,1,3,1,1,0,0,0,0,4,14,0,1,0,0,13,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,      ,   ,NA,NA,0,0,39,39,20,1,2,6,8,3,18,16,U,27,24,1,1,NA,  ,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,   ,  ,  ,200,200,0,2,1,1,0,0,0,0,0,0,0,0,27.820621,81.805596,8/28/2017,10:41:56,1,CARPJ126,V1
735582650,2011,1/6/2011,1130,4,1,16,16030000,12.629,45,0,  ,NA,"""US HIGHWAY 17                                     ""","""COUNTY ROAD 640                                   """,0,FT,NA,SR   35 ,US   17 ,5,0,"""HOMELAND                        """,1,1,1,4,77,1,1,1,L,1,2,2,2,2,1,2,1,1,0,0,0,0,10,0,0,2,0,0,5,NA,0,5,2,26,3,NA,24,1,5,NA,8,3,0,41,      ,60,1,14900,20,35,4,4,20,1,1,6,8,3,1,1,S,30,50,1,1,NA,  ,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,   ,  ,  ,300,300,0,1,1,1,0,0,0,0,0,0,0,0,27.8204911,81.8215372,8/28/2017,10:41:56,1,CARPJ126,V1
762316260,2011,10/8/2011,231,6,1,16,16010000,4.131,439,0,  ,NA,"""US 92 GEORGE JENKINS BLVD                         ""","""                                                  """,0,FT,NA,SR  600 ,US   92 ,5,52,"""LAKELAND                        """,2,1,1,14,3,1,1,1,L,1,2,3,2,1,4,2,1,1,0,0,0,0,1,0,0,1,0,0,5,5,1,6,14,21,3,1140,22,6,NA,NA,2,0,0,13,      ,45,0,15800,12.22,34,14,14,20,1,4,88,88,4,13,1,N,2,48,1,1,14,14,1,1,0,0,0,0,11,1,W,1,30,2,1,4000,4000,0,2,2,2,0,0,0,0,0,0,0,0,28.0414623,81.9901817,8/28/2017,10:41:56,1,CARPJ126,V1
802386830,2011,1/6/2011,1205,4,1,16,16110000,12.877,2643,0.019,MI,W,"""STATE ROAD 60 EAST                                ""","""COUNTY ROAD 555                                   """,100,FT,W,SR   60 ,        ,5,32,"""BARTOW                          """,2,1,1,4,77,1,1,1,R,2,3,2,1,2,1,2,1,1,0,0,0,0,10,0,0,2,0,0,1,NA,0,5,14,23,3,85,24,1,3,NA,4,8,0,40,      ,45,0,18500,15.88,30,4,4,20,1,1,6,1,3,5,1,E,1,41,1,1,NA,  ,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,   ,  ,  ,500,500,0,1,1,1,0,0,0,0,0,0,0,0,27.8965951,81.8593929,8/28/2017,10:41:56,1,CARPJ126,V1
802386980,2011,2/3/2011,1200,4,1,16,16000000,0,NA,0,  ,NA,"""PRIVATE ROADWAY                                   ""","""1050 E VANFLEET DR                                """,100,FT,N,        ,        ,5,32,"""BARTOW                          """,2,1,1,14,5,1,1,1,U,U,8,2,1,1,1,2,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,      ,   ,NA,NA,0,0,14,14,20,1,0,0,0,0,10,15,N,77,53,1,1,14,14,1,1,0,0,0,0,13,13,S,1,23,1,1,500,500,0,2,2,2,0,0,0,0,0,0,0,0,0,0,8/28/2017,10:41:56,1,CARPJ126,V1
802387430,2011,1/17/2011,1145,1,1,16,16261101,0.775,4444,0.004,MI,E,"""SR 60                                             ""","""RESTWOOD AVENUE                                   """,0,FT,NA,SR   60 ,        ,5,32,"""BARTOW                          """,2,1,2,14,3,1,2,1,R,1,3,3,3,2,1,3,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,5,14,20,3,NA,24,1,6,NA,4,2,0,22,      ,45,NA,19700,16.98,36,14,14,20,88,0,0,0,0,1,88,E,3,0,88,88,14,14,1,1,0,0,0,0,5,1,E,1,21,1,1,3000,3000,0,3,2,2,0,0,0,0,0,0,0,0,27.900768,81.8223707,8/28/2017,10:41:56,1,CARPJ126,V1
802389330,2011,6/29/2011,0,3,1,16,16030000,20.721,77,0.006,MI,N,"""US HWY 17                                         ""","""CROSSOVER RD                                      """,30,FT,N,SR  555 ,US   17 ,5,32,"""Bartow                          """,2,1,1,4,77,1,1,2,L,R,2,2,1,2,1,3,1,1,0,0,0,0,1,0,0,2,0,0,1,NA,0,6,14,23,3,85,24,1,3,NA,4,8,0,41,0D3000,60,0,18200,9.03,37,0,42,20,1,0,0,0,0,0,1,S,2,54,1,1,NA,  ,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,   ,  ,  ,2000,2000,0,1,1,1,0,0,0,0,0,0,0,0,27.9336311,81.8139936,8/28/2017,10:41:56,1,CARPJ126,V1
802390540,2011,7/22/2011,1529,5,1,16,16261000,1.99,73,0.004,MI,W,"""US HWY 98 VAN FLEET DRIVE                         ""","""US HWY 17                                         """,20,FT,W,SR  700 ,US   98 ,5,32,"""BARTOW                          """,2,1,1,4,77,2,77,1,L,A,3,3,77,2,1,3,1,1,0,0,0,0,10,0,0,2,0,0,5,NA,0,5,14,20,3,NA,24,1,6,NA,4,2,0,30,      ,45,NA,20600,8.94,35,4,4,20,1,1,6,1,1,3,15,W,12,46,1,1,NA,  ,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,   ,  ,  ,1800,1000,800,1,1,1,0,0,0,0,0,0,0,0,27.9039056,81.8304367,8/28/2017,10:41:56,1,CARPJ126,V1
802390550,2011,7/27/2011,1250,3,1,16,16261000,1.194,1237,0,  ,NA,"""STATE ROAD 60                                     ""","""US 98                                             """,0,FT,NA,SR   60 ,        ,5,32,"""BARTOW                          """,2,1,1,14,1,1,3,1,L,2,3,3,2,1,1,2,1,1,0,0,0,0,1,0,0,1,0,0,5,5,0,5,14,20,3,NA,24,6,NA,NA,2,0,0,32,      ,45,NA,17700,12.7,35,14,14,20,1,1,88,88,2,8,1,W,77,64,1,1,14,14,20,1,1,6,1,2,1,1,W,1,59,1,1,300,300,0,2,2,2,0,0,0,0,0,0,0,0,27.903958,81.8434288,8/28/2017,10:41:56,1,CARPJ126,V1
802898590,2011,3/28/2011,0,1,8,16,16470000,17.52,3891,0,  ,NA,"""US HWY 92 E                                       ""","""SR 570                                            """,0,FT,NA,SR  570 ,        ,5,0,"""UNINCORPORATED AUBURNDALE       """,1,1,1,4,77,1,14,1,L,2,2,2,4,2,1,3,1,1,0,0,0,0,10,0,0,2,0,0,5,NA,0,5,12,3,1,NA,24,2,3,NA,10,12,0,57,      ,65,NA,7000,9.26,49,4,42,20,1,2,6,3,2,0,1,W,1,39,1,1,NA,  ,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,   ,  ,  ,1000,1000,0,1,1,1,0,0,0,0,0,0,0,0,28.0575297,81.8344673,8/28/2017,10:41:56,1,CARPJ126,V1
